guwejihe, ᡤᡠᠸᡝᠵᡳᡥᡝ
fehi, ᡶᡝᡥᡳ
ura, ᡠᡵᠠ
teru, ᡨᡝᡵᡠ
fisa, ᡶᡳᠰᠠ
funiyehe, ᡶᡠᠨᡳᠶᡝᡥᡝ
dabcikū, ᡩᠠᠪᠴᡳᡴᡡ
dara, ᡩᠠᡵᠠ
silhi, ᠰᡳᠯᡥᡳ
cejen, ᠴᡝᠵᡝᠨ
sabka, ᠰᠠᠪᡴᠠ
sele, ᠰᡝᠯᡝ
tarcan, ᡨᠠᡵᠴᠠᠨ
giowan, ᡤᡳᠣᠸᠠᠨ
ebci, ᡝᠪᠴᡳ
akjan, ᠠᡴᠵᠠᠨ
g'an, ᡬᠠᠨ
hefeli, ᡥᡝᡶᡝᠯᡳ
bono, ᠪᠣᠨᠣ
suksaha, ᠰᡠᡴᠰᠠᡥᠠ
toholon muke, ᡨᠣᡥᠣᠯᠣᠨ ᠮᡠᡴᡝ
juhe, ᠵᡠᡥᡝ
teišun, ᡨᡝᡳᡧᡠᠨ
sirin, ᠰᡳᡵᡳᠨ
toholon, ᡨᠣᡥᠣᠯᠣᠨ
dere, ᡩᡝᡵᡝ
guye, ᡤᡠᠶᡝ
salu, ᠰᠠᠯᡠ
mayan, ᠮᠠᠶᠠᠨ
uncehen, ᡠᠨᠴᡝᡥᡝᠨ
fulcin, ᡶᡠᠯᠴᡳᠨ
femen, ᡶᡝᠮᡝᠨ
ikūrsun, ᡳᡴᡡᡵᠰᡠᠨ
umhan, ᡠᠮᡥᠠᠨ
sencehe, ᠰᡝᠨᠴᡝᡥᡝ
amaka, ᠠᠮᠠᡴᠠ
mama, ᠮᠠᠮᠠ
tuwa, ᡨᡠᠸᠠ
bilha, ᠪᡳᠯᡥᠠ
emeke, ᡝᠮᡝᡴᡝ
amji, ᠠᠮᠵᡳ
yeye, ᠶᡝᠶᡝ
ecike, ᡝᠴᡳᡴᡝ
hitahūn, ᡥᡳᡨᠠᡥᡡᠨ
eniye, ᡝᠨᡳᠶᡝ
eshen, ᡝᠰᡥᡝᠨ
oke, ᠣᡴᡝ
urun, ᡠᡵᡠᠨ
gucu, ᡤᡠᠴᡠ
deheme, ᡩᡝᡥᡝᠮᡝ
mafa, ᠮᠠᡶᠠ
unggu, ᡠᠩᡤᡠ
amu, ᠠᠮᡠ
oktosi, ᠣᡴᡨᠣᠰᡳ
meye, ᠮᡝᠶᡝ
aja, ᠠᠵᠠ
efu, ᡝᡶᡠ
uhume, ᡠᡥᡠᠮᡝ
unggu mafa, ᡠᠩᡤᡠ ᠮᠠᡶᠠ
seire, ᠰᡝᡳᡵᡝ
goro mafa, ᡤᠣᡵᠣ ᠮᠠᡶᠠ
meifen, ᠮᡝᡳᡶᡝᠨ
uhen, ᡠᡥᡝᠨ
tunggen, ᡨᡠᠩᡤᡝᠨ
holhon, ᡥᠣᠯᡥᠣᠨ
falanggū, ᡶᠠᠯᠠᠩᡤᡡ
boihon, ᠪᠣᡳᡥᠣᠨ
sukdun, ᠰᡠᡴᡩᡠᠨ
na, ᠨᠠ
uce, ᡠᠴᡝ
mulu, ᠮᡠᠯᡠ
šeri, ᡧᡝᡵᡳ
dunggu, ᡩᡠᠩᡤᡠ
mukden, ᠮᡠᡴᡩᡝᠨ
golo, ᡤᠣᠯᠣ
jugūn, ᠵᡠᡤᡡᠨ
han, ᡥᠠᠨ
maise, ᠮᠠᡳᠰᡝ
dabagan, ᡩᠠᠪᠠᡤᠠᠨ
muji, ᠮᡠᠵᡳ
bolosu, ᠪᠣᠯᠣᠰᡠ
tala, ᡨᠠᠯᠠ
šušu, ᡧᡠᡧᡠ
fa, ᡶᠠ
yeru, ᠶᡝᡵᡠ
usin, ᡠᠰᡳᠨ
yamji, ᠶᠠᠮᠵᡳ
bele, ᠪᡝᠯᡝ
dabsun, ᡩᠠᠪᠰᡠᠨ
erde, ᡝᡵᡩᡝ
šatan, ᡧᠠᡨᠠᠨ
tumiha, ᡨᡠᠮᡳᡥᠠ
darama, ᡩᠠᡵᠠᠮᠠ
misun, ᠮᡳᠰᡠᠨ
ufa, ᡠᡶᠠ
hangse, ᡥᠠᠩᠰᡝ
tun, ᡨᡠᠨ
cungguru, ᠴᡠᠩᡤᡠᡵᡠ
oho, ᠣᡥᠣ
umgan, ᡠᠮᡤᠠᠨ
bujan, ᠪᡠᠵᠠᠨ
orho, ᠣᡵᡥᠣ
nei, ᠨᡝᡳ
ferhe, ᡶᡝᡵᡥᡝ
niyaki, ᠨᡳᠶᠠᡴᡳ
beri, ᠪᡝᡵᡳ
uli, ᡠᠯᡳ
asha, ᠠᠰᡥᠠ
etuku, ᡝᡨᡠᡴᡠ
elu, ᡝᠯᡠ
fi, ᡶᡳ
nakcu, ᠨᠠᡴᠴᡠ
usisi, ᡠᠰᡳᠰᡳ
besergen, ᠪᡝᠰᡝᡵᡤᡝᠨ
abkai sukdun, ᠠᠪᡴᠠᡳ ᠰᡠᡴᡩᡠᠨ
hadufun, ᡥᠠᡩᡠᡶᡠᠨ
jibehun, ᠵᡳᠪᡝᡥᡠᠨ
feise, ᡶᡝᡳᠰᡝ
šahūrun, ᡧᠠᡥᡡᡵᡠᠨ
foholon, ᡶᠣᡥᠣᠯᠣᠨ
sirdan, ᠰᡳᡵᡩᠠᠨ
jakdan, ᠵᠠᡴᡩᠠᠨ
Jakdan, ᠵᠠᡴᡩᠠᠨ
golmin, ᡤᠣᠯᠮᡳᠨ
saikan, ᠰᠠᡳᡴᠠᠨ
hūcin, ᡥᡡᠴᡳᠨ
nekcu, ᠨᡝᡴᠴᡠ
pingguri, ᡦᡳᠩᡤᡠᡵᡳ
toro, ᡨᠣᡵᠣ
ulhūma, ᡠᠯᡥᡡᠮᠠ
gurgu, ᡤᡠᡵᡤᡠ
mahala, ᠮᠠᡥᠠᠯᠠ
tokso, ᡨᠣᡴᠰᠣ
den, ᡩᡝᠨ
umpu, ᡠᠮᡦᡠ
